state,year,l_incarc_rate,ln_incarc_rate,ln_violent_rate,ln_property_rate,ln_DeathsHomi_rate,ln_DeathsHomi_fire_rate,ln_DeathsHomi_nonfire_rate
1,1977,124.00401,4.9885969,6.0269389,8.101119,2.6461763,2.3721337,.82012784
1,1978,146.73039,4.9890471,6.0380635,8.1661301,2.5694864,2.2851255,.85268986
1,1979,146.79646,4.951067,6.02422,8.2507534,2.6085827,2.2728705,1.2411213
1,1980,141.32565,5.1241579,6.1059852,8.4085178,2.7617903,2.4616046,1.3067346
1,1981,168.03256,5.2750735,6.1536994,8.3957644,2.6434357,2.2823434,1.4496946
1,1982,195.40486,5.4605203,6.1041341,8.3394642,2.5604744,2.2160971,1.3272053
1,1983,235.21973,5.5235682,6.0307798,8.2120314,2.3656013,1.9187175,1.3450103
1,1984,250.52731,5.5806537,6.0665207,8.1521549,2.3729687,1.993116,1.2210749
1,1985,265.24487,5.6250267,6.1258817,8.1561031,2.4316947,2.018456,1.3484504
1,1986,277.27969,5.6814289,6.3243704,8.2242565,2.4422808,2.0815516,1.2477045
1,1987,293.36835,5.7666192,6.3265452,8.2667265,2.4276099,2.0308976,1.3112589
1,1988,319.45596,5.7474227,6.3253722,8.2948303,2.4579065,2.1341193,1.1727083
1,1989,313.38193,5.8437409,6.3814716,8.3032589,2.5261679,2.1384025,1.391188
1,1990,345.06784,5.9578686,6.5632353,8.3444262,2.6071649,2.2418659,1.4230305
1,1991,386.78488,6.0133843,6.7383509,8.4165878,2.6616585,2.3340061,1.3865002
1,1992,408.86465,6.0406065,6.7704034,8.3885517,2.5686059,2.2317646,1.316765
1,1993,420.14783,6.0911608,6.6598268,8.3183403,2.6219828,2.279978,1.3829186
1,1994,441.9342,6.1299982,6.5274739,8.3474398,2.6416829,2.3165176,1.3600798
1,1995,459.43539,6.1783028,6.4494486,8.3465729,2.5067449,2.231009,1.0837314
1,1996,482.17279,6.2194214,6.3375111,8.3557777,2.4968939,2.1770132,1.201406
1,1997,502.41254,6.2350178,6.3358684,8.3722334,2.4653478,2.1393266,1.1859692
1,1998,510.30978,6.2438049,6.2384934,8.3150759,2.3306346,2.0016398,1.0589296
1,1999,514.8136,6.3218403,6.1948104,8.2744274,2.2912021,1.8891556,1.1857167
1,2000,556.59625,6.3853693,6.1865368,8.3088646,2.2999563,1.8877115,1.2147671
1,2001,593.10364,6.3945093,6.0826359,8.2627783,2.252645,1.910983,1.0127403
1,2002,598.5495,6.4358373,6.0980697,8.3009701,2.2284572,1.8745258,1.0180535
1,2003,623.80457,6.42941,6.061975,8.3055954,2.2656066,1.9671136,.91106093
1,2004,619.80804,6.3480282,6.0568175,8.301343,2.0973287,1.7548766,.85936087
1,2005,571.36499,6.4138961,6.069912,8.2687788,2.248682,1.9431355,.91414285
1,2006,610.26672,6.4136081,6.0524535,8.2791967,2.2631524,1.9732206,.88357705
1,2007,610.09106,6.4448061,6.1068277,8.2884588,2.3294339,2.0905421,.78062069
1,2008,629.4245,6.4717302,6.1154938,8.3149586,2.2640834,2.0010581,.79994661
1,2009,646.60168,6.5071464,6.1094747,8.2375793,2.1586239,1.8965023,.69147742
1,2010,669.91205,6.4979839,5.9499383,8.1684809,2.1016536,1.778393,.81507736
1,2011,663.80212,6.5104613,6.039784,8.1901865,2.1003423,1.8058343,.73425066
1,2012,672.13654,6.5123229,6.109899,8.1620855,2.1297848,1.8494829,.72101766
1,2013,673.38873,6.5077853,6.066083,8.1160736,2.1561391,1.8819548,.7282232
1,2014,670.34009,6.4854856,6.0583692,8.0644493,2.0447483,1.7972463,.52721179
2,1977,147.39445,5.2885132,6.0941186,8.60425,2.3072083,1.8764254,.81555337
2,1978,198.04877,5.169939,6.0911641,8.6312752,2.7163608,2.1318476,1.4387003
2,1979,175.9041,5.2401652,6.1967149,8.650423,2.5139606,2.1854565,.99983293
2,1980,188.70126,5.3208294,6.0776324,8.5582743,2.1012683,1.5491997,1.1697102
2,1981,204.55344,5.4999866,6.4228845,8.6960297,2.5388138,2.2574015,1.1334714
2,1982,244.68866,5.6836996,6.4357405,8.6285219,2.5041206,2.1077054,1.3871592
2,1983,294.03522,5.8109493,6.4196343,8.5950432,2.4393563,1.9403653,1.5050472
2,1984,333.93597,5.9477916,6.4322968,8.6113386,2.2553492,1.9188769,1.0025861
2,1985,382.90683,6.080791,6.3660679,8.5745564,2.0888062,1.7288034,.89255542
2,1986,437.375,6.1136451,6.3463588,8.6439085,2.0669286,1.7397156,.79063505
2,1987,451.98322,6.1500654,6.1212387,8.5014896,2.1435211,1.6470841,1.2052515
2,1988,468.74799,6.1685762,6.2592125,8.3890944,1.6057798,1.1431563,.61252803
2,1989,477.50574,6.2176027,6.2100434,8.3622131,1.7661812,1.4359396,.49766994
2,1990,501.49957,6.1609807,6.262454,8.4399195,1.7235824,.77450186,1.2340342
2,1991,473.89255,6.1624222,6.4197664,8.534585,2.0203955,1.0924087,1.5172918
2,1992,474.57614,6.1875157,6.4929624,8.4988317,1.9407644,1.2717148,1.2229246
2,1993,486.63577,6.1113052,6.6343284,8.4778652,1.9227564,1.1536233,1.3002268
2,1994,450.92688,6.3019929,6.6416216,8.505475,1.6992499,1.2472647,.68764901
2,1995,545.65826,6.3676982,6.6475081,8.5137768,2.1898983,1.6666501,1.2919565
2,1996,582.71509,6.414463,6.5898576,8.4601431,1.9317296,1.5613557,.75900924
2,1997,610.61279,6.5213289,6.552721,8.4275808,2.1941907,1.6208446,1.3649113
2,1998,679.48083,6.4935708,6.4829679,8.3243675,2.0257063,1.5077633,1.1199977
2,1999,660.87891,6.4489899,6.4470387,8.2238016,2.0995946,1.4636059,1.3458228
2,2000,632.06348,6.4990792,6.3401613,8.2113571,1.7744591,.93612999,1.2080637
2,2001,664.5296,6.5810595,6.3792081,8.203887,1.7911586,1.3724482,.71852177
2,2002,721.30328,6.5289621,6.3375502,8.2321024,1.8289366,1.3981537,.77911443
2,2003,684.68732,6.5484557,6.3936644,8.2326117,1.9807884,1.5963767,.838691
2,2004,698.16504,6.5377741,6.4493675,8.1229229,1.8275849,1.109745,1.1585352
2,2005,690.74725,6.5813293,6.4494238,8.1927805,1.713379,1.280515,.66741043
2,2006,721.49768,6.6209092,6.5337963,8.18258,1.8512104,1.4222147,.79806042
2,2007,750.62714,6.6326838,6.4942431,8.1253901,1.9946593,1.3015121,1.3015121
2,2008,759.51788,6.5921631,6.4801273,7.981843,1.4394697,.78022403,.71123117
2,2009,729.35681,6.6282978,6.4510732,7.9863057,1.3137662,.88888299,
2,2010,756.19373,6.6267438,6.4541039,7.9504371,1.8237442,1.4407519,.67861187
2,2011,755.01984,6.6521344,6.4135618,7.8777018,1.6063054,.96722537,.85599971
2,2012,774.43549,6.6468425,6.4037886,7.9170408,1.6485823,.84420949,1.0555186
2,2013,770.34796,6.5352464,6.4594617,7.9645061,1.7641081,.94734699,1.1809618
2,2014,689.00336,6.667098,6.4544277,7.9225693,1.6138272,1.0474318,.77549809
4,1977,133.28787,4.8914299,6.2029552,8.8891649,2.264509,1.7508303,.96807098
4,1978,133.14383,4.9228835,6.3136959,8.8610296,2.2819219,1.7964141,.94692087
4,1979,137.39824,4.9575596,6.38516,8.8907366,2.1762061,1.6524215,1.1910759
4,1980,142.24622,5.0804152,6.4782848,8.925312,2.3402154,1.7761729,1.3675973
4,1981,160.84085,5.2250195,6.3557544,8.8590975,2.251431,1.7330866,1.3463136
4,1982,185.86481,5.3471556,6.247962,8.7969475,2.1695936,1.5778465,1.3635919
4,1983,210.0101,5.4468961,6.2028618,8.6822672,2.1226413,1.4612429,1.3967043
4,1984,232.03685,5.5443025,6.2462668,8.6967268,2.1411884,1.4364805,1.45947
4,1985,255.77615,5.5908837,6.4011045,8.7816601,2.0648737,1.4594017,1.2756193
4,1986,267.97229,5.6530671,6.4896235,8.8043404,2.2878892,1.6129798,1.5761658
4,1987,285.16483,5.7636981,6.4176817,8.7911806,2.1046937,1.5126425,1.2990685
4,1988,318.52405,5.8351974,6.4136672,8.8336325,2.193553,1.717855,1.2221431
4,1989,342.13223,5.9021659,6.3961797,8.9173346,2.1469109,1.510205,1.3939452
4,1990,365.82892,5.9586735,6.4806185,8.8868732,2.0985413,1.6096945,1.1483489
4,1991,387.09622,6.0085211,6.5083518,8.8150597,2.1943703,1.7360628,1.1937385
4,1992,406.8811,6.0421314,6.5085077,8.7574301,2.184613,1.7962424,1.0509094
4,1993,420.78891,6.0824647,6.5722685,8.8123589,2.1892958,1.7713565,1.1151745
4,1994,438.10757,6.1423583,6.5555577,8.8848076,2.3519711,2.0323956,1.0556731
4,1995,465.14926,6.176837,6.570168,8.9226742,2.4584267,2.153872,1.1211063
4,1996,481.46655,6.1951613,6.4481044,8.7695847,2.237987,1.8712952,1.0570037
4,1997,490.37048,6.2060876,6.4357209,8.7904682,2.1557281,1.7945021,.96229458
