state,year,age_bm_1519,age_bm_1019,age_bm_2029,age_bm_3039,age_bm_4049,age_bm_2039,age_bm_5064,age_bm_65o,age_bf_1019,age_bf_2029,age_bf_3039,age_bf_4049,age_bf_5064,age_bf_65o,age_wm_1519,age_wm_1019,age_wm_2029,age_wm_3039,age_wm_4049,age_wm_2039,age_wm_5064,age_wm_65o,age_wf_1019,age_wf_2029,age_wf_3039,age_wf_4049,age_wf_5064,age_wf_65o,age_nm_1519,age_nm_1019,age_nm_2029,age_nm_3039,age_nm_4049,age_nm_2039,age_nm_5064,age_nm_65o,age_nf_1019,age_nf_2029,age_nf_3039,age_nf_4049,age_nf_5064,age_nf_65o,unemployment_rate,popstatecensus,poverty_rate,beer,density,pct_msa_ucr_hybrid,rpcpi,rpcim,rpcui,rpcrpo_alt_65,l_policeemployeerate0,ln_employee_rate0,ln_officer_rate0
1,1977,1.5457212,2.997776,1.9804519,1.0575082,.87305701,3.0379601,1.317358,1.0958419,3.0106771,2.3286014,1.2929566,1.1823175,1.732631,1.5776834,3.578069,6.832654,6.2814417,4.8039284,4.0009294,11.08537,5.3265886,3.2204022,6.5197721,6.2873373,4.8885269,4.1650505,5.9850826,4.8576484,.017818568,.035716448,.035954382,.0282612,.017210517,.064215586,.013667952,.0081426101,.033257805,.04251077,.035742886,.024084147,.018849613,.013403581,7.314166874933058,3780403,,.97,74.552399,61.789196,9719.4717,171.61716,75.907593,5801.4751,189.84308,5.3005366,5.0746794
1,1978,1.517252,2.90696,2.0254457,1.0990171,.8602308,3.1244628,1.2882466,1.0963306,2.9286606,2.3846555,1.3344128,1.1634674,1.7109414,1.5929698,3.5355771,6.6750374,6.2995782,4.9612532,3.9819028,11.260832,5.3381991,3.2782459,6.3592553,6.3125153,5.0388227,4.1461449,6.0002804,4.9571056,.018988146,.03795021,.039097846,.031664297,.018622989,.070762143,.014397604,.0082942722,.035315864,.046713971,.039828159,.025978288,.020370524,.014032449,6.376047505410955,3831836,,.95,75.566696,61.857067,10079.755,161.04294,55.214725,5764.1475,200.44435,5.3167539,5.0749354
1,1979,1.4830694,2.8174314,2.0689316,1.1467848,.84730214,3.2157164,1.2608869,1.1047362,2.843534,2.4292774,1.3829491,1.1430115,1.6916322,1.6167357,3.484031,6.5223527,6.334569,5.1007924,3.9744763,11.435362,5.3362074,3.3477542,6.2001271,6.3191915,5.1670313,4.1365709,6.0004807,5.0820293,.019925879,.039670847,.042126048,.035432398,.020106789,.077558443,.015403144,.0083993655,.037163962,.050577104,.044400338,.027782517,.022096792,.015170546,7.170068306489298,3866248,18.9,.96,76.245323,61.901684,9964.1875,185.95041,57.851238,5736.1074,203.72147,5.3413582,5.0891533
1,1980,1.4567382,2.7585917,2.1316926,1.2296422,.85053331,3.3613348,1.2415919,1.0991184,2.7832093,2.4915948,1.4623029,1.1300697,1.6787314,1.622624,3.3982098,6.3725119,6.3861799,5.185463,3.9396143,11.571643,5.3294754,3.4090312,6.0479202,6.3270464,5.2446475,4.0990896,5.9904542,5.1892581,.021283846,.042465121,.045926951,.040157236,.021899283,.086084187,.016232138,.00835968,.039695658,.054953352,.050029859,.029617883,.023540447,.015308984,8.872400165579478,3893888,21.2,.95,76.701164,62.021427,9603.1553,197.81554,76.456314,5721.2373,208.79614,5.3310046,5.0719085
1,1981,1.4266356,2.7285557,2.1537468,1.2845922,.86923122,3.438339,1.2260497,1.0909476,2.7479763,2.5181446,1.5354521,1.1405582,1.6616733,1.6303859,3.2630687,6.219542,6.4711933,5.266963,3.9399314,11.738156,5.3306093,3.4574277,5.9082508,6.3977213,5.3210907,4.0892735,5.9807019,5.2894969,.024473526,.048972569,.051754236,.044914916,.025826078,.096669152,.018501883,.0089829834,.045323234,.059154987,.056551963,.033609629,.026642712,.016179578,10.55749344917778,3918531,24.1,1,77.186577,61.87957,9619.3623,192.51926,60.50605,5872.9253,206.64545,5.3113437,5.0421796
1,1982,1.3806112,2.6831884,2.1618161,1.329735,.88611639,3.4915512,1.2123657,1.0848315,2.7000284,2.5316558,1.6019492,1.1499234,1.6477046,1.6435266,3.1301446,6.0462627,6.5082502,5.3592434,3.9722378,11.867494,5.3326464,3.5234222,5.7470183,6.4354639,5.4104509,4.114192,5.9705982,5.4150624,.026852012,.054162599,.056888558,.048608765,.029042974,.10549732,.020406511,.0096555147,.050392106,.062773585,.061550722,.036711335,.029374165,.016406732,14.1104476777112,3925266,21.6,1,77.319244,61.876972,9556.4766,182.38342,79.792747,5943.7754,202.62227,5.3062544,5.0269585
1,1983,1.33766,2.638895,2.1669965,1.3762964,.90549093,3.543293,1.199433,1.0754913,2.65135,2.5300012,1.6623077,1.1621437,1.6324663,1.6443622,3.0173032,5.883009,6.5412521,5.3945632,4.0788651,11.935816,5.3266954,3.5828953,5.5876694,6.4322062,5.4283195,4.2125421,5.9541564,5.5135231,.028621474,.058895163,.061818317,.052387975,.032612212,.11420629,.022343053,.010447092,.054828171,.065199003,.06629201,.040288664,.03187507,.017157633,13.79672649182989,3934102,23,1.01,77.493294,59.942158,9894.5781,189.75903,82.329315,6146.6362,201.59373,5.4713044,5.1513376
1,1984,1.2964107,2.5829778,2.1568465,1.4349034,.924052,3.5917499,1.1831468,1.0653534,2.5937576,2.5163507,1.7394961,1.1756819,1.6121881,1.6472352,2.9243383,5.7119808,6.537117,5.4844913,4.1556401,12.021608,5.3187962,3.6490145,5.4278851,6.4134016,5.5121241,4.2858834,5.9313221,5.6181507,.030644,.06341359,.066652596,.056176446,.036033902,.12282904,.024368431,.010931633,.059390146,.068297401,.071485795,.044156715,.034237269,.017460248,11.01931455881637,3951820,19.1,1.03,77.8423,63.532131,10386.91,185.75554,55.822906,6170.8115,237.77019,5.4835887,5.1457543
1,1985,1.2622696,2.5335259,2.1301303,1.4951692,.94305217,3.6252995,1.1638939,1.0525794,2.540549,2.4937277,1.8195472,1.1891927,1.5915059,1.6459297,2.8818433,5.5800505,6.4754753,5.5825672,4.2070451,12.058043,5.3100963,3.7072875,5.3023424,6.3662248,5.6132278,4.3344202,5.9074488,5.7179222,.032775108,.067840949,.0716924,.060616329,.039773174,.13230872,.026934996,.011806088,.063888803,.071415499,.076752156,.0481054,.036853116,.018174829,9.151519253043165,3972523,20.6,1.07,78.250107,63.494629,10748.142,177.50929,48.327137,6187.416,240.70905,5.4966211,5.1382303
1,1986,1.2589035,2.4913261,2.0892286,1.5695081,.95406091,3.6587367,1.1455145,1.0395912,2.4980652,2.44573,1.9118297,1.1925385,1.57279,1.6451676,2.8909183,5.4784722,6.3677721,5.7143946,4.2439704,12.082167,5.2877703,3.7678165,5.2066746,6.2455893,5.7392721,4.3629713,5.8709245,5.8109479,.035650142,.072703242,.076561369,.06501203,.043341354,.1415734,.029161464,.012275875,.068394154,.074156299,.082548991,.052159943,.039608486,.018739499,9.703023702981797,3991569,23.8,1.1,78.625267,63.516457,11115.876,170.62044,49.270073,6311.7456,243.86652,5.5357885,5.1862712
